variant,n_runs,n_time_valid,n_score_valid,n_strict_valid,n_repeat_valid,time_corr,time_spearman,time_mae,time_dir_acc,time_band_acc,repeat_corr,repeat_spearman,repeat_mae,score_corr,score_mae,tie_gate_threshold,tie_shrink_power,tie_margin_weight_alpha,min_anchor_quality,anchor_outlier_mad_scale,anchor_outlier_min_delta,combo_index
ALL,498,481,374,361,75,0.317048,0.431828,1.156983,0.85,0.614958,0.781145,0.723143,1.375945,0.905204,0.279828,0.6,1.25,0.55,0.3,3.5,0.3,139
O0,128,121,128,121,25,,,0.356301,,1.0,,,0.307569,,0.339584,0.6,1.25,0.55,0.3,3.5,0.3,139
O1,124,120,0,0,0,-0.011205,-0.015696,1.358158,0.833333,,,,,,,0.6,1.25,0.55,0.3,3.5,0.3,139
O2,124,120,124,120,25,0.207195,0.198917,1.451009,0.841667,0.475,0.721019,0.749231,2.02733,0.912104,0.25459,0.6,1.25,0.55,0.3,3.5,0.3,139
O3,122,120,122,120,25,0.188034,0.212452,1.469135,0.875,0.466667,0.732208,0.740769,1.792937,0.946416,0.242783,0.6,1.25,0.55,0.3,3.5,0.3,139
ALL,498,481,374,361,75,0.317314,0.43198,1.157851,0.85,0.614958,0.781145,0.723143,1.375945,0.905204,0.279828,0.6,1.25,0.55,0.3,3.5,0.35,140
O0,128,121,128,121,25,,,0.356301,,1.0,,,0.307569,,0.339584,0.6,1.25,0.55,0.3,3.5,0.35,140
O1,124,120,0,0,0,-0.009191,-0.015314,1.361638,0.833333,,,,,,,0.6,1.25,0.55,0.3,3.5,0.35,140
O2,124,120,124,120,25,0.207195,0.198917,1.451009,0.841667,0.475,0.721019,0.749231,2.02733,0.912104,0.25459,0.6,1.25,0.55,0.3,3.5,0.35,140
O3,122,120,122,120,25,0.188034,0.212452,1.469135,0.875,0.466667,0.732208,0.740769,1.792937,0.946416,0.242783,0.6,1.25,0.55,0.3,3.5,0.35,140
ALL,498,481,374,361,75,0.308021,0.431648,1.160432,0.85,0.609418,0.792196,0.738305,1.388388,0.888766,0.282107,0.6,1.25,0.55,0.35,2.5,0.3,141
O0,128,121,128,121,25,,,0.365429,,1.0,,,0.307987,,0.348214,0.6,1.25,0.55,0.35,2.5,0.3,141
O1,124,120,0,0,0,-0.009629,-0.013369,1.362487,0.833333,,,,,,,0.6,1.25,0.55,0.35,2.5,0.3,141
O2,124,120,124,120,25,0.182585,0.185527,1.44613,0.841667,0.475,0.730638,0.778462,2.03736,0.883348,0.260289,0.6,1.25,0.55,0.35,2.5,0.3,141
O3,122,120,122,120,25,0.187104,0.21357,1.474306,0.875,0.466667,0.749626,0.75,1.819818,0.948599,0.234926,0.6,1.25,0.55,0.35,2.5,0.3,141
ALL,498,481,374,361,75,0.308319,0.431767,1.160672,0.85,0.609418,0.792196,0.738305,1.388388,0.888766,0.282107,0.6,1.25,0.55,0.35,2.5,0.35,142
O0,128,121,128,121,25,,,0.365429,,1.0,,,0.307987,,0.348214,0.6,1.25,0.55,0.35,2.5,0.35,142
O1,124,120,0,0,0,-0.008163,-0.013369,1.363448,0.833333,,,,,,,0.6,1.25,0.55,0.35,2.5,0.35,142
O2,124,120,124,120,25,0.182585,0.185527,1.44613,0.841667,0.475,0.730638,0.778462,2.03736,0.883348,0.260289,0.6,1.25,0.55,0.35,2.5,0.35,142
O3,122,120,122,120,25,0.187104,0.21357,1.474306,0.875,0.466667,0.749626,0.75,1.819818,0.948599,0.234926,0.6,1.25,0.55,0.35,2.5,0.35,142
ALL,498,481,374,361,75,0.307884,0.430752,1.160706,0.85,0.609418,0.792196,0.738305,1.388388,0.888766,0.282107,0.6,1.25,0.55,0.35,3.5,0.3,143
O0,128,121,128,121,25,,,0.365429,,1.0,,,0.307987,,0.348214,0.6,1.25,0.55,0.35,3.5,0.3,143
O1,124,120,0,0,0,-0.010449,-0.01914,1.363584,0.833333,,,,,,,0.6,1.25,0.55,0.35,3.5,0.3,143
O2,124,120,124,120,25,0.182585,0.185527,1.44613,0.841667,0.475,0.730638,0.778462,2.03736,0.883348,0.260289,0.6,1.25,0.55,0.35,3.5,0.3,143
O3,122,120,122,120,25,0.187104,0.21357,1.474306,0.875,0.466667,0.749626,0.75,1.819818,0.948599,0.234926,0.6,1.25,0.55,0.35,3.5,0.3,143
ALL,498,481,374,361,75,0.308183,0.43087,1.160945,0.85,0.609418,0.792196,0.738305,1.388388,0.888766,0.282107,0.6,1.25,0.55,0.35,3.5,0.35,144
O0,128,121,128,121,25,,,0.365429,,1.0,,,0.307987,,0.348214,0.6,1.25,0.55,0.35,3.5,0.35,144
O1,124,120,0,0,0,-0.008982,-0.01914,1.364545,0.833333,,,,,,,0.6,1.25,0.55,0.35,3.5,0.35,144
O2,124,120,124,120,25,0.182585,0.185527,1.44613,0.841667,0.475,0.730638,0.778462,2.03736,0.883348,0.260289,0.6,1.25,0.55,0.35,3.5,0.35,144
O3,122,120,122,120,25,0.187104,0.21357,1.474306,0.875,0.466667,0.749626,0.75,1.819818,0.948599,0.234926,0.6,1.25,0.55,0.35,3.5,0.35,144
ALL,498,481,374,361,75,0.316378,0.431156,1.154588,0.85,0.617729,0.791556,0.729028,1.354983,0.905751,0.27474,0.62,0.65,0.1,0.25,2.5,0.3,145
O0,128,121,128,121,25,,,0.352111,,1.0,,,0.296346,,0.335978,0.62,0.65,0.1,0.25,2.5,0.3,145
O1,124,120,0,0,0,-0.014571,-0.016015,1.352376,0.833333,,,,,,,0.62,0.65,0.1,0.25,2.5,0.3,145
O2,124,120,124,120,25,0.202124,0.193562,1.451899,0.841667,0.475,0.73205,0.759231,1.999899,0.912789,0.24913,0.62,0.65,0.1,0.25,2.5,0.3,145
O3,122,120,122,120,25,0.186122,0.207507,1.468654,0.875,0.466667,0.742408,0.74,1.768704,0.946062,0.236521,0.62,0.65,0.1,0.25,2.5,0.3,145
ALL,498,481,374,361,75,0.316656,0.431307,1.155258,0.85,0.617729,0.791556,0.729028,1.354983,0.905751,0.27474,0.62,0.65,0.1,0.25,2.5,0.35,146
O0,128,121,128,121,25,,,0.352111,,1.0,,,0.296346,,0.335978,0.62,0.65,0.1,0.25,2.5,0.35,146
O1,124,120,0,0,0,-0.012713,-0.015661,1.355062,0.833333,,,,,,,0.62,0.65,0.1,0.25,2.5,0.35,146
O2,124,120,124,120,25,0.202124,0.193562,1.451899,0.841667,0.475,0.73205,0.759231,1.999899,0.912789,0.24913,0.62,0.65,0.1,0.25,2.5,0.35,146
O3,122,120,122,120,25,0.186122,0.207507,1.468654,0.875,0.466667,0.742408,0.74,1.768704,0.946062,0.236521,0.62,0.65,0.1,0.25,2.5,0.35,146
ALL,498,481,374,361,75,0.315992,0.430165,1.155274,0.85,0.617729,0.791556,0.729028,1.354983,0.905751,0.27474,0.62,0.65,0.1,0.25,3.5,0.3,147
O0,128,121,128,121,25,,,0.352111,,1.0,,,0.296346,,0.335978,0.62,0.65,0.1,0.25,3.5,0.3,147
O1,124,120,0,0,0,-0.016581,-0.024273,1.355124,0.833333,,,,,,,0.62,0.65,0.1,0.25,3.5,0.3,147
O2,124,120,124,120,25,0.202124,0.193562,1.451899,0.841667,0.475,0.73205,0.759231,1.999899,0.912789,0.24913,0.62,0.65,0.1,0.25,3.5,0.3,147
O3,122,120,122,120,25,0.186122,0.207507,1.468654,0.875,0.466667,0.742408,0.74,1.768704,0.946062,0.236521,0.62,0.65,0.1,0.25,3.5,0.3,147
ALL,498,481,374,361,75,0.31627,0.430316,1.155944,0.85,0.617729,0.791556,0.729028,1.354983,0.905751,0.27474,0.62,0.65,0.1,0.25,3.5,0.35,148
O0,128,121,128,121,25,,,0.352111,,1.0,,,0.296346,,0.335978,0.62,0.65,0.1,0.25,3.5,0.35,148
O1,124,120,0,0,0,-0.014719,-0.023918,1.35781,0.833333,,,,,,,0.62,0.65,0.1,0.25,3.5,0.35,148
O2,124,120,124,120,25,0.202124,0.193562,1.451899,0.841667,0.475,0.73205,0.759231,1.999899,0.912789,0.24913,0.62,0.65,0.1,0.25,3.5,0.35,148
O3,122,120,122,120,25,0.186122,0.207507,1.468654,0.875,0.466667,0.742408,0.74,1.768704,0.946062,0.236521,0.62,0.65,0.1,0.25,3.5,0.35,148
ALL,498,481,374,361,75,0.316056,0.431151,1.159195,0.85,0.617729,0.781683,0.727173,1.377728,0.906497,0.275075,0.62,0.65,0.1,0.3,2.5,0.3,149
O0,128,121,128,121,25,,,0.352656,,1.0,,,0.298984,,0.33625,0.62,0.65,0.1,0.3,2.5,0.3,149
O1,124,120,0,0,0,-0.011932,-0.011681,1.356627,0.833333,,,,,,,0.62,0.65,0.1,0.3,2.5,0.3,149
O2,124,120,124,120,25,0.204192,0.192847,1.459426,0.841667,0.475,0.721263,0.752308,2.036026,0.913601,0.248216,0.62,0.65,0.1,0.3,2.5,0.3,149
O3,122,120,122,120,25,0.185144,0.206862,1.474794,0.875,0.466667,0.731651,0.740769,1.798174,0.947835,0.238189,0.62,0.65,0.1,0.3,2.5,0.3,149
ALL,498,481,374,361,75,0.316323,0.431311,1.160078,0.85,0.617729,0.781683,0.727173,1.377728,0.906497,0.275075,0.62,0.65,0.1,0.3,2.5,0.35,150
O0,128,121,128,121,25,,,0.352656,,1.0,,,0.298984,,0.33625,0.62,0.65,0.1,0.3,2.5,0.35,150
O1,124,120,0,0,0,-0.009905,-0.011299,1.360166,0.833333,,,,,,,0.62,0.65,0.1,0.3,2.5,0.35,150
O2,124,120,124,120,25,0.204192,0.192847,1.459426,0.841667,0.475,0.721263,0.752308,2.036026,0.913601,0.248216,0.62,0.65,0.1,0.3,2.5,0.35,150
O3,122,120,122,120,25,0.185144,0.206862,1.474794,0.875,0.466667,0.731651,0.740769,1.798174,0.947835,0.238189,0.62,0.65,0.1,0.3,2.5,0.35,150
ALL,498,481,374,361,75,0.315672,0.430154,1.159881,0.85,0.617729,0.781683,0.727173,1.377728,0.906497,0.275075,0.62,0.65,0.1,0.3,3.5,0.3,151
O0,128,121,128,121,25,,,0.352656,,1.0,,,0.298984,,0.33625,0.62,0.65,0.1,0.3,3.5,0.3,151
O1,124,120,0,0,0,-0.013929,-0.019856,1.359375,0.833333,,,,,,,0.62,0.65,0.1,0.3,3.5,0.3,151
O2,124,120,124,120,25,0.204192,0.192847,1.459426,0.841667,0.475,0.721263,0.752308,2.036026,0.913601,0.248216,0.62,0.65,0.1,0.3,3.5,0.3,151
O3,122,120,122,120,25,0.185144,0.206862,1.474794,0.875,0.466667,0.731651,0.740769,1.798174,0.947835,0.238189,0.62,0.65,0.1,0.3,3.5,0.3,151
ALL,498,481,374,361,75,0.315939,0.430315,1.160764,0.85,0.617729,0.781683,0.727173,1.377728,0.906497,0.275075,0.62,0.65,0.1,0.3,3.5,0.35,152
O0,128,121,128,121,25,,,0.352656,,1.0,,,0.298984,,0.33625,0.62,0.65,0.1,0.3,3.5,0.35,152
O1,124,120,0,0,0,-0.011897,-0.019474,1.362914,0.833333,,,,,,,0.62,0.65,0.1,0.3,3.5,0.35,152
O2,124,120,124,120,25,0.204192,0.192847,1.459426,0.841667,0.475,0.721263,0.752308,2.036026,0.913601,0.248216,0.62,0.65,0.1,0.3,3.5,0.35,152
O3,122,120,122,120,25,0.185144,0.206862,1.474794,0.875,0.466667,0.731651,0.740769,1.798174,0.947835,0.238189,0.62,0.65,0.1,0.3,3.5,0.35,152
ALL,498,481,374,361,75,0.306844,0.429997,1.162995,0.85,0.612188,0.79246,0.742972,1.389528,0.890075,0.277446,0.62,0.65,0.1,0.35,2.5,0.3,153
O0,128,121,128,121,25,,,0.361784,,1.0,,,0.299402,,0.34488,0.62,0.65,0.1,0.35,2.5,0.3,153
O1,124,120,0,0,0,-0.011074,-0.015043,1.362502,0.833333,,,,,,,0.62,0.65,0.1,0.35,2.5,0.3,153
O2,124,120,124,120,25,0.179709,0.179582,1.454384,0.841667,0.475,0.730528,0.784615,2.045716,0.884827,0.254204,0.62,0.65,0.1,0.35,2.5,0.3,153
O3,122,120,122,120,25,0.184055,0.206771,1.479986,0.875,0.458333,0.748977,0.75,1.823466,0.95005,0.23032,0.62,0.65,0.1,0.35,2.5,0.3,153
ALL,498,481,374,361,75,0.307142,0.430115,1.163235,0.85,0.612188,0.79246,0.742972,1.389528,0.890075,0.277446,0.62,0.65,0.1,0.35,2.5,0.35,154
O0,128,121,128,121,25,,,0.361784,,1.0,,,0.299402,,0.34488,0.62,0.65,0.1,0.35,2.5,0.35,154
O1,124,120,0,0,0,-0.009611,-0.015043,1.363463,0.833333,,,,,,,0.62,0.65,0.1,0.35,2.5,0.35,154
O2,124,120,124,120,25,0.179709,0.179582,1.454384,0.841667,0.475,0.730528,0.784615,2.045716,0.884827,0.254204,0.62,0.65,0.1,0.35,2.5,0.35,154
O3,122,120,122,120,25,0.184055,0.206771,1.479986,0.875,0.458333,0.748977,0.75,1.823466,0.95005,0.23032,0.62,0.65,0.1,0.35,2.5,0.35,154
ALL,498,481,374,361,75,0.306461,0.428908,1.16368,0.85,0.612188,0.79246,0.742972,1.389528,0.890075,0.277446,0.62,0.65,0.1,0.35,3.5,0.3,155
O0,128,121,128,121,25,,,0.361784,,1.0,,,0.299402,,0.34488,0.62,0.65,0.1,0.35,3.5,0.3,155
O1,124,120,0,0,0,-0.013072,-0.023293,1.36525,0.833333,,,,,,,0.62,0.65,0.1,0.35,3.5,0.3,155
O2,124,120,124,120,25,0.179709,0.179582,1.454384,0.841667,0.475,0.730528,0.784615,2.045716,0.884827,0.254204,0.62,0.65,0.1,0.35,3.5,0.3,155
O3,122,120,122,120,25,0.184055,0.206771,1.479986,0.875,0.458333,0.748977,0.75,1.823466,0.95005,0.23032,0.62,0.65,0.1,0.35,3.5,0.3,155
ALL,498,481,374,361,75,0.30676,0.429026,1.16392,0.85,0.612188,0.79246,0.742972,1.389528,0.890075,0.277446,0.62,0.65,0.1,0.35,3.5,0.35,156
O0,128,121,128,121,25,,,0.361784,,1.0,,,0.299402,,0.34488,0.62,0.65,0.1,0.35,3.5,0.35,156
O1,124,120,0,0,0,-0.011608,-0.023293,1.366211,0.833333,,,,,,,0.62,0.65,0.1,0.35,3.5,0.35,156
O2,124,120,124,120,25,0.179709,0.179582,1.454384,0.841667,0.475,0.730528,0.784615,2.045716,0.884827,0.254204,0.62,0.65,0.1,0.35,3.5,0.35,156
O3,122,120,122,120,25,0.184055,0.206771,1.479986,0.875,0.458333,0.748977,0.75,1.823466,0.95005,0.23032,0.62,0.65,0.1,0.35,3.5,0.35,156
ALL,498,481,374,361,75,0.317101,0.432064,1.152182,0.85,0.617729,0.791557,0.729028,1.354984,0.904751,0.278078,0.62,0.65,0.55,0.25,2.5,0.3,157
O0,128,121,128,121,25,,,0.35188,,1.0,,,0.296346,,0.33576,0.62,0.65,0.55,0.25,2.5,0.3,157
O1,124,120,0,0,0,-0.014202,-0.015994,1.351765,0.833333,,,,,,,0.62,0.65,0.55,0.25,2.5,0.3,157
O2,124,120,124,120,25,0.204032,0.199125,1.446967,0.841667,0.475,0.732051,0.759231,1.999896,0.911309,0.254234,0.62,0.65,0.55,0.25,2.5,0.3,157
O3,122,120,122,120,25,0.187738,0.210251,1.464783,0.875,0.466667,0.742408,0.74,1.768711,0.94448,0.241795,0.62,0.65,0.55,0.25,2.5,0.3,157
ALL,498,481,374,361,75,0.317379,0.43221,1.152852,0.85,0.617729,0.791557,0.729028,1.354984,0.904751,0.278078,0.62,0.65,0.55,0.25,2.5,0.35,158
O0,128,121,128,121,25,,,0.35188,,1.0,,,0.296346,,0.33576,0.62,0.65,0.55,0.25,2.5,0.35,158
O1,124,120,0,0,0,-0.012345,-0.01564,1.354452,0.833333,,,,,,,0.62,0.65,0.55,0.25,2.5,0.35,158
O2,124,120,124,120,25,0.204032,0.199125,1.446967,0.841667,0.475,0.732051,0.759231,1.999896,0.911309,0.254234,0.62,0.65,0.55,0.25,2.5,0.35,158
O3,122,120,122,120,25,0.187738,0.210251,1.464783,0.875,0.466667,0.742408,0.74,1.768711,0.94448,0.241795,0.62,0.65,0.55,0.25,2.5,0.35,158
ALL,498,481,374,361,75,0.316717,0.431097,1.152863,0.85,0.617729,0.791557,0.729028,1.354984,0.904751,0.278078,0.62,0.65,0.55,0.25,3.5,0.3,159
O0,128,121,128,121,25,,,0.35188,,1.0,,,0.296346,,0.33576,0.62,0.65,0.55,0.25,3.5,0.3,159
O1,124,120,0,0,0,-0.0162,-0.024252,1.354498,0.833333,,,,,,,0.62,0.65,0.55,0.25,3.5,0.3,159
O2,124,120,124,120,25,0.204032,0.199125,1.446967,0.841667,0.475,0.732051,0.759231,1.999896,0.911309,0.254234,0.62,0.65,0.55,0.25,3.5,0.3,159
O3,122,120,122,120,25,0.187738,0.210251,1.464783,0.875,0.466667,0.742408,0.74,1.768711,0.94448,0.241795,0.62,0.65,0.55,0.25,3.5,0.3,159
ALL,498,481,374,361,75,0.316995,0.431243,1.153534,0.85,0.617729,0.791557,0.729028,1.354984,0.904751,0.278078,0.62,0.65,0.55,0.25,3.5,0.35,160
O0,128,121,128,121,25,,,0.35188,,1.0,,,0.296346,,0.33576,0.62,0.65,0.55,0.25,3.5,0.35,160
O1,124,120,0,0,0,-0.014339,-0.023897,1.357185,0.833333,,,,,,,0.62,0.65,0.55,0.25,3.5,0.35,160
O2,124,120,124,120,25,0.204032,0.199125,1.446967,0.841667,0.475,0.732051,0.759231,1.999896,0.911309,0.254234,0.62,0.65,0.55,0.25,3.5,0.35,160
O3,122,120,122,120,25,0.187738,0.210251,1.464783,0.875,0.466667,0.742408,0.74,1.768711,0.94448,0.241795,0.62,0.65,0.55,0.25,3.5,0.35,160
ALL,498,481,374,361,75,0.316777,0.431983,1.156787,0.85,0.617729,0.781683,0.727173,1.377728,0.905501,0.278412,0.62,0.65,0.55,0.3,2.5,0.3,161
O0,128,121,128,121,25,,,0.352425,,1.0,,,0.298984,,0.336033,0.62,0.65,0.55,0.3,2.5,0.3,161
O1,124,120,0,0,0,-0.011565,-0.011661,1.356011,0.833333,,,,,,,0.62,0.65,0.55,0.3,2.5,0.3,161
O2,124,120,124,120,25,0.206085,0.198507,1.454494,0.841667,0.475,0.721263,0.752308,2.036026,0.912145,0.25332,0.62,0.65,0.55,0.3,2.5,0.3,161
O3,122,120,122,120,25,0.186753,0.209362,1.470922,0.875,0.466667,0.731651,0.740769,1.798174,0.946261,0.243461,0.62,0.65,0.55,0.3,2.5,0.3,161
ALL,498,481,374,361,75,0.317043,0.432144,1.15767,0.85,0.617729,0.781683,0.727173,1.377728,0.905501,0.278412,0.62,0.65,0.55,0.3,2.5,0.35,162
O0,128,121,128,121,25,,,0.352425,,1.0,,,0.298984,,0.336033,0.62,0.65,0.55,0.3,2.5,0.35,162
O1,124,120,0,0,0,-0.009539,-0.011279,1.35955,0.833333,,,,,,,0.62,0.65,0.55,0.3,2.5,0.35,162
O2,124,120,124,120,25,0.206085,0.198507,1.454494,0.841667,0.475,0.721263,0.752308,2.036026,0.912145,0.25332,0.62,0.65,0.55,0.3,2.5,0.35,162
O3,122,120,122,120,25,0.186753,0.209362,1.470922,0.875,0.466667,0.731651,0.740769,1.798174,0.946261,0.243461,0.62,0.65,0.55,0.3,2.5,0.35,162
ALL,498,481,374,361,75,0.316394,0.43101,1.157469,0.85,0.617729,0.781683,0.727173,1.377728,0.905501,0.278412,0.62,0.65,0.55,0.3,3.5,0.3,163
O0,128,121,128,121,25,,,0.352425,,1.0,,,0.298984,,0.336033,0.62,0.65,0.55,0.3,3.5,0.3,163
O1,124,120,0,0,0,-0.013549,-0.019835,1.358744,0.833333,,,,,,,0.62,0.65,0.55,0.3,3.5,0.3,163
O2,124,120,124,120,25,0.206085,0.198507,1.454494,0.841667,0.475,0.721263,0.752308,2.036026,0.912145,0.25332,0.62,0.65,0.55,0.3,3.5,0.3,163
O3,122,120,122,120,25,0.186753,0.209362,1.470922,0.875,0.466667,0.731651,0.740769,1.798174,0.946261,0.243461,0.62,0.65,0.55,0.3,3.5,0.3,163
ALL,498,481,374,361,75,0.31666,0.431171,1.158352,0.85,0.617729,0.781683,0.727173,1.377728,0.905501,0.278412,0.62,0.65,0.55,0.3,3.5,0.35,164
O0,128,121,128,121,25,,,0.352425,,1.0,,,0.298984,,0.336033,0.62,0.65,0.55,0.3,3.5,0.35,164
O1,124,120,0,0,0,-0.011518,-0.019453,1.362283,0.833333,,,,,,,0.62,0.65,0.55,0.3,3.5,0.35,164
O2,124,120,124,120,25,0.206085,0.198507,1.454494,0.841667,0.475,0.721263,0.752308,2.036026,0.912145,0.25332,0.62,0.65,0.55,0.3,3.5,0.35,164
O3,122,120,122,120,25,0.186753,0.209362,1.470922,0.875,0.466667,0.731651,0.740769,1.798174,0.946261,0.243461,0.62,0.65,0.55,0.3,3.5,0.35,164
ALL,498,481,374,361,75,0.307568,0.430727,1.160546,0.85,0.612188,0.79246,0.742972,1.389528,0.889065,0.280771,0.62,0.65,0.55,0.35,2.5,0.3,165
O0,128,121,128,121,25,,,0.361546,,1.0,,,0.299402,,0.344654,0.62,0.65,0.55,0.35,2.5,0.3,165
O1,124,120,0,0,0,-0.010875,-0.015022,1.361761,0.833333,,,,,,,0.62,0.65,0.55,0.35,2.5,0.3,165
O2,124,120,124,120,25,0.181628,0.184818,1.44942,0.841667,0.475,0.730528,0.784615,2.045716,0.883372,0.259275,0.62,0.65,0.55,0.35,2.5,0.3,165
O3,122,120,122,120,25,0.185668,0.209438,1.476117,0.875,0.458333,0.748977,0.75,1.823466,0.948458,0.235595,0.62,0.65,0.55,0.35,2.5,0.3,165
ALL,498,481,374,361,75,0.307867,0.430845,1.160786,0.85,0.612188,0.79246,0.742972,1.389528,0.889065,0.280771,0.62,0.65,0.55,0.35,2.5,0.35,166
O0,128,121,128,121,25,,,0.361546,,1.0,,,0.299402,,0.344654,0.62,0.65,0.55,0.35,2.5,0.35,166
O1,124,120,0,0,0,-0.009411,-0.015022,1.362722,0.833333,,,,,,,0.62,0.65,0.55,0.35,2.5,0.35,166
O2,124,120,124,120,25,0.181628,0.184818,1.44942,0.841667,0.475,0.730528,0.784615,2.045716,0.883372,0.259275,0.62,0.65,0.55,0.35,2.5,0.35,166
O3,122,120,122,120,25,0.185668,0.209438,1.476117,0.875,0.458333,0.748977,0.75,1.823466,0.948458,0.235595,0.62,0.65,0.55,0.35,2.5,0.35,166
ALL,498,481,374,361,75,0.307187,0.429662,1.161228,0.85,0.612188,0.79246,0.742972,1.389528,0.889065,0.280771,0.62,0.65,0.55,0.35,3.5,0.3,167
O0,128,121,128,121,25,,,0.361546,,1.0,,,0.299402,,0.344654,0.62,0.65,0.55,0.35,3.5,0.3,167
O1,124,120,0,0,0,-0.012862,-0.023272,1.364494,0.833333,,,,,,,0.62,0.65,0.55,0.35,3.5,0.3,167
O2,124,120,124,120,25,0.181628,0.184818,1.44942,0.841667,0.475,0.730528,0.784615,2.045716,0.883372,0.259275,0.62,0.65,0.55,0.35,3.5,0.3,167
O3,122,120,122,120,25,0.185668,0.209438,1.476117,0.875,0.458333,0.748977,0.75,1.823466,0.948458,0.235595,0.62,0.65,0.55,0.35,3.5,0.3,167
ALL,498,481,374,361,75,0.307486,0.42978,1.161468,0.85,0.612188,0.79246,0.742972,1.389528,0.889065,0.280771,0.62,0.65,0.55,0.35,3.5,0.35,168
O0,128,121,128,121,25,,,0.361546,,1.0,,,0.299402,,0.344654,0.62,0.65,0.55,0.35,3.5,0.35,168
O1,124,120,0,0,0,-0.011398,-0.023272,1.365455,0.833333,,,,,,,0.62,0.65,0.55,0.35,3.5,0.35,168
O2,124,120,124,120,25,0.181628,0.184818,1.44942,0.841667,0.475,0.730528,0.784615,2.045716,0.883372,0.259275,0.62,0.65,0.55,0.35,3.5,0.35,168
O3,122,120,122,120,25,0.185668,0.209438,1.476117,0.875,0.458333,0.748977,0.75,1.823466,0.948458,0.235595,0.62,0.65,0.55,0.35,3.5,0.35,168
ALL,498,481,374,361,75,0.316673,0.431959,1.154153,0.85,0.614958,0.791111,0.725839,1.352457,0.905425,0.276491,0.62,1.25,0.1,0.25,2.5,0.3,169
O0,128,121,128,121,25,,,0.355797,,1.0,,,0.304933,,0.339332,0.62,1.25,0.1,0.25,2.5,0.3,169
O1,124,120,0,0,0,-0.013555,-0.013112,1.352877,0.833333,,,,,,,0.62,1.25,0.1,0.25,2.5,0.3,169
O2,124,120,124,120,25,0.20295,0.193194,1.44802,0.841667,0.475,0.731979,0.756154,1.990161,0.912693,0.250458,0.62,1.25,0.1,0.25,2.5,0.3,169
O3,122,120,122,120,25,0.187191,0.212272,1.46657,0.875,0.466667,0.742869,0.743846,1.762278,0.946128,0.23702,0.62,1.25,0.1,0.25,2.5,0.3,169
ALL,498,481,374,361,75,0.316952,0.432089,1.154816,0.85,0.614958,0.791111,0.725839,1.352457,0.905425,0.276491,0.62,1.25,0.1,0.25,2.5,0.35,170
O0,128,121,128,121,25,,,0.355797,,1.0,,,0.304933,,0.339332,0.62,1.25,0.1,0.25,2.5,0.35,170
O1,124,120,0,0,0,-0.011703,-0.013112,1.355534,0.833333,,,,,,,0.62,1.25,0.1,0.25,2.5,0.35,170
O2,124,120,124,120,25,0.20295,0.193194,1.44802,0.841667,0.475,0.731979,0.756154,1.990161,0.912693,0.250458,0.62,1.25,0.1,0.25,2.5,0.35,170
O3,122,120,122,120,25,0.187191,0.212272,1.46657,0.875,0.466667,0.742869,0.743846,1.762278,0.946128,0.23702,0.62,1.25,0.1,0.25,2.5,0.35,170
ALL,498,481,374,361,75,0.316534,0.431042,1.154432,0.85,0.614958,0.791111,0.725839,1.352457,0.905425,0.276491,0.62,1.25,0.1,0.25,3.5,0.3,171
O0,128,121,128,121,25,,,0.355797,,1.0,,,0.304933,,0.339332,0.62,1.25,0.1,0.25,3.5,0.3,171
O1,124,120,0,0,0,-0.014396,-0.020119,1.353995,0.833333,,,,,,,0.62,1.25,0.1,0.25,3.5,0.3,171
O2,124,120,124,120,25,0.20295,0.193194,1.44802,0.841667,0.475,0.731979,0.756154,1.990161,0.912693,0.250458,0.62,1.25,0.1,0.25,3.5,0.3,171
O3,122,120,122,120,25,0.187191,0.212272,1.46657,0.875,0.466667,0.742869,0.743846,1.762278,0.946128,0.23702,0.62,1.25,0.1,0.25,3.5,0.3,171
ALL,498,481,374,361,75,0.316813,0.431172,1.155094,0.85,0.614958,0.791111,0.725839,1.352457,0.905425,0.276491,0.62,1.25,0.1,0.25,3.5,0.35,172
O0,128,121,128,121,25,,,0.355797,,1.0,,,0.304933,,0.339332,0.62,1.25,0.1,0.25,3.5,0.35,172
O1,124,120,0,0,0,-0.012542,-0.020119,1.356652,0.833333,,,,,,,0.62,1.25,0.1,0.25,3.5,0.35,172
O2,124,120,124,120,25,0.20295,0.193194,1.44802,0.841667,0.475,0.731979,0.756154,1.990161,0.912693,0.250458,0.62,1.25,0.1,0.25,3.5,0.35,172
O3,122,120,122,120,25,0.187191,0.212272,1.46657,0.875,0.466667,0.742869,0.743846,1.762278,0.946128,0.23702,0.62,1.25,0.1,0.25,3.5,0.35,172
ALL,498,481,374,361,75,0.316358,0.431515,1.158996,0.85,0.614958,0.781145,0.723143,1.375945,0.90622,0.276396,0.62,1.25,0.1,0.3,2.5,0.3,173
O0,128,121,128,121,25,,,0.356342,,1.0,,,0.307569,,0.339623,0.62,1.25,0.1,0.3,2.5,0.3,173
O1,124,120,0,0,0,-0.010824,-0.011188,1.35761,0.833333,,,,,,,0.62,1.25,0.1,0.3,2.5,0.3,173
O2,124,120,124,120,25,0.205087,0.192479,1.455763,0.841667,0.475,0.721019,0.749231,2.02733,0.913587,0.249144,0.62,1.25,0.1,0.3,2.5,0.3,173
